id,nombre,unidad,stock_actual,salidas_5_meses,rotacion_pct,ultima_salida,categoria,ubicacion
377,"PLACA 36.5 X 25 CM X 3/16""",PIEZAS,6.00,0,0.00,,Sin Categoría,SIN-UBICACION
245,"TAPA OREJA DOBLE 4""",PIEZAS,5.00,0,0.00,,PLACAS,HERRERIA
152,"ESPARRAGO 3/8""",PIEZAS,5.00,0,0.00,,TORNILLERIA,EXTRAS
407,SUJETARDOR CON MATRACA 1000 KG SU-3000C,PIEZAS,5.00,0,0.00,,Sin Categoría,SIN-UBICACION
703,PINTURA GRIS,KG,4.40,0,0.00,,Sin Categoría,SIN-UBICACION
590,"PLACA 6, 17 CM",PIEZAS,4.00,0,0.00,,Sin Categoría,SIN-UBICACION
856,SUMBRELLA TAUPE,metros,4.00,0,0.00,,SIN CATEGORÍA,MANUFACTURA
486,"PLACA 35 X 35 CM  X 1/2"" 8 ORIFICIOS",PIEZAS,4.00,0,0.00,,Sin Categoría,SIN-UBICACION
151,"ESPARRAGO ALTA 1""",PIEZAS,4.00,0,0.00,,TORNILLERIA,ALBAÑILERIA
668,TENSOR 3/8,PIEZAS,4.00,0,0.00,,CONEXIONES,RENOMBRAR
510,CARRETILLA PARA CLOSET,PIEZAS,4.00,0,0.00,,HERRAJES,VENTA
585,"PLACA 1, 25 X 25 CM",PIEZAS,4.00,0,0.00,,Sin Categoría,SIN-UBICACION
626,CONECTOR RAPIDO HEMBRA,PIEZAS,4.00,0,0.00,,MANTENIMIENTO,PINTURA
390,ESTRELLA PARA ROLADORA,PIEZAS,4.00,0,0.00,,HERRAMIENTAS Y EQUIPOS,HERRERIA
669,TENSOR  5/16”,PIEZAS,4.00,0,0.00,,CONEXIONES,RENOMBRAR
538,MÉNSULA,PIEZAS,4.00,0,0.00,,MANTENIMIENTO,ACCESORIOS
356,"PROYECTO ESPECIAL 8, 14.5 CM X 3/8""",PIEZAS,3.00,0,0.00,,Sin Categoría,SIN-UBICACION
588,"PLACA 4, 20 X 15 CM",PIEZAS,3.00,0,0.00,,Sin Categoría,SIN-UBICACION
332,"CODO 1 1/2"" - 45°",PIEZAS,3.00,0,0.00,,MANTENIMIENTO,HIDRAULICO
559,GUIA PVC PARA CORTINA IMPORTACIÓN,METROS,3.00,0,0.00,,HERRAJES,REVISAR
523,"TORNILLO 5/8 X 2""",PIEZAS,3.00,0,0.00,,Sin Categoría,SIN-UBICACION
326,"COPLE HEMBRA A ROSCA CPVC 1/2""",PIEZAS,3.00,0,0.00,,MANTENIMIENTO,HIDRAULICO
310,SOPORTE CORTINA 2,PIEZAS,3.00,0,0.00,,Sin Categoría,SIN-UBICACION
549,ANTICONGELANTE,LITROS,3.00,0,0.00,,MANTENIMIENTO,VEHICULOS
520,REDONDO ALUMINIO,PIEZAS,3.00,0,0.00,,CONEXIONES,ALUMINIOS
586,"PLACA 2, 18 X 18 CM",PIEZAS,3.00,0,0.00,,Sin Categoría,SIN-UBICACION
591,SOPORTE 1,PIEZAS,3.00,0,0.00,,Sin Categoría,SIN-UBICACION
509,CARRETILLA PARA PORTÓN,PIEZAS,3.00,0,0.00,,HERRAJES,VENTA
231,CERRAMIENTO ARCO DOBLE GRANDE,PIEZAS,3.00,0,0.00,,PLACAS,HERRERIA
513,CARRETILLA PARA PORTON 4 BALEROS,PIEZAS,2.00,0,0.00,,HERRAJES,VENTA
672,BANDOLA MOSQUETON 3/8”,PIEZAS,2.00,0,0.00,,HERRAJES,INSTALACIÓN
